thematic;card;id;bearer;reigning;conditions;lockturn;weight;question;power;faith;people;money;load;override_yes;answer_yes;yes;override_no;answer_no;no
walkers;;189;&hand;;storm and kingslanding;500;400;The White Walkers have breached the Wall at Eastwatch! You must gather the small council right away.;2-3;2-3;2-3;2-3;wallfallen;;<i>The Red Keep is rustling with anxious whispers as you head to the map room. A painter just finished the advance of the White Walkers.</i>;set_invasion and >_councilwalker1 and nb_council+;;;
walkers;;190;&hand;;wallfallen and kingslanding and storm;500;400+30;Winterfell is under siege by the White Walkers!;2-4;2-4;2-4;2-4;;Summon the small council;<i>The map is slowly filling with blue. The council members look aghast and upset.</i>;set_invasion and nb_council+ and >_councilwalker1;I don't believe you;;
walkers;_councilwalker1;196;lannister;;;reign;10;I don't believe this. It's a scheme the Starks are putting together to fool us.;1;;1;;;Why would they?;;>_councilwalker1;;;>
walkers;_councilwalker1;195;hand;;;0;2;There's nothing we can do. Should we adjourn the council?;-3-3;-2-2;-2-2;-2-2;;;;;;;>_councilwalker1
walkers;_councilwalker1;197;hand;;;reign;10;The White Walkers will continue to advance. We have no hope of facing them by ordinary means.;;;;;;What are the options?;;>_retreat1_choice;;;>_councilwalker1
walkers;_retreat1_choice;1023;hand;;;;0;We don't have any obvious options!;;;;;;;;;;;
walkers;_retreat1_choice;200;military;;;10;10;Attack$If we join all available forces together, we may yet have a chance of overwhelming the Walkers.;1+1;;-1-1;-1-1;;;;;;;>_retreat1_choice
walkers;_retreat1_choice;198;stark_male;;;10;10;Defend$If Winterfell falls, all the North is lost. We must honor our duty to defend it at any cost.;;;1+1;1+1;;;;;;;>_retreat1_choice
walkers;_retreat1_choice;199;maester;;;10;10;Retreat$Attacking the Walkers has proven fruitless. Let us retreat, and buy precious time.;;;;1+1;;;;;;;>_retreat1_choice
walkers;_councilwalker1;201;maester;;;reign;10;The White Walkers seem animated by an insatiable urge to kill. If only we knew why...;-1;-1;;;;Good question;;;I will not ask them;;>_councilwalker1
walkers;_councilwalker1;206;maester;;;reign;10;Shall we issue orders to the Night's Watch?;1;;1-1;;;;;>_orderwatch_choice;;;>_councilwalker1
walkers;_orderwatch_choice;1046;maester;;;;0;I don't see anything else we can do.;0-1;2;0-1;;;We should pray;;;We should drink;;
walkers;_orderwatch_choice;207;maester;;;10;10;Barricade€ themselves with the wildlings and townfolk in Castle Black? If you wish, Your Grace.;-1-1;;;;;;;;I've changed my mind;;>_orderwatch
walkers;_orderwatch_choice;208;maester;;;10;10;Attack€ the undead army from the top of the Wall? It will be done.;;;-1-1;;;;;;I've changed my mind;;>_orderwatch
walkers;_orderwatch_choice;209;maester;;;10;10;Slow down€ the undead by destroying all the bridges along the Kingsroad, then retreat to Winterfell?;;;;-1-1;;;;;I've changed my mind;;>_orderwatch
walkers;;202;maester;;wallfallen;400;500-50;I did some calculations. There are 680 leagues between the Wall and King's Landing.;1;-1;1;;;Carry on;;>;Not interested;;
walkers;_;203;maester;;;;;The Walkers are slow but relentless. They can probably cover eight leagues a day.;1;;;;;Carry on;;>;Enough;;
walkers;_;204;maester;;;;;If we do not act... the White Walkers will be upon us in only ninety days' time.;-1;;;;;Thank you;;;You forget Viserion;;>
walkers;_;205;hand;;;;;You mean the monstrous undead dragon? He's hard to miss. We can only hope the Night King prefers to stay with his army.;-1-1;;1-1;;;Very well;;;That's not reassuring;;
science;;210;maester;;;500;50;A young Maester from Maidenpool has been dabbling in forbidden works, with corpses and spiders. We must not allow it.;2;3;-2;;;;;;;;
walkers;;232;soldier;;winter;500;120;How are we supposed to kill an enemy that cannot die?;3;-4;;;;Dragonglass;;>>>293;Prayers;;
walkers;;235;maester;;;500;100;A band of pirates from the Stepstones are threatening our deposit of dragonglass.;-1-1;;2-1;;;Hide it;;;Where's the Iron Fleet?;;>_callironfleet
walkers;_callironfleet;236;noble;;greyjoy&antagonist;;10;We're at war with them, did you forget?;;;;-1-1;;I want talks;;>>>>blacksails;;;
walkers;_callironfleet;237;noble;;greyjoy!antagonist;;10;Probably whoring in Pentos. Shall I send them a raven?;1+1;;;;;Please do;;;;;
walkers;;246;maester;;winter;400;200;Our effort to contain the threat from the North is not enough. Who should we request help from?;1-1;;1-1;;;Let's see...;;>_raven_choice;We are strong!;;
walkers;_raven_choice;1030;maester;;;;0;We have no other option!;1-1;;1-1;;;We are strong!;;;I don't care;;
walkers;_raven_choice;247;raven;;lannister!antagonist;10;10;Casterly Rock$<i>Send a raven to Casterly Rock.</i>;;-1-1;;1+1;;;;;;;>_raven_choice
walkers;_raven_choice;248;raven;;<;10;10;Highgarden$<i>Send a raven to Highgarden.</i>;-2-2;;1+1;2+2;;;;;;;>_raven_choice
walkers;_raven_choice;250;raven;;dothraki!antagonist;10;10;Dothraki$<i>Enlist the Dothraki.</i>;2+2;;;;;;;;;;>_raven_choice
walkers;_raven_choice;249;raven;;<;10;10;Second Sons$<i>Mobilise the Second Sons.</i>;3+3;;;-2-2;;;;;;;>_raven_choice
walkers;_raven_choice;252;raven;;greyjoy!antagonist;10;10;Iron Fleet$<i>Request the Iron fleet's help.</i>;;;;-2-2;;;;;;;>_raven_choice
walkers;_raven_choice;251;raven;;<;10;10;Oldtown$<i>Request Oldtown's help.</i>;1+1;-1-1;;-1-1;;;;;;;>_raven_choice
walkers;;292;hand;;!nb_glass and seen_227 and !seen_1624;reign;600-40;We received a raven from Dragonstone. A new shaft of dragonglass has been discovered! Should we start mining?;;;;-1-1;;;;nb_glass+++;;;
walkers;;1774;hand;;nb_glass>2 and !dragonglass_super;15;450;Should we accelerate the mining of dragonglass? It could give us a decisive advantage against the White Walkers.;1+1;;2;-1-1;;;;nb_glass+++;;;
walkers;;293;hand;;nb_glass>2 and !dragonglass_super;15;450;We're now producing <nb_glass>000 dragonglass daggers a moon. Should we carry on our mining operations?;;;;-1-1;;;;nb_glass++;;;!nb_glass
walkers;;294;hand;;nb_glass>5 and !dragonglass_super;500;400;You know that even if you reduce Dragonstone to dust, you still won't have nearly enough weapons to fight the Walkers?;;;;;;We will see;;;;;
walkers;;295;hand;;nb_glass>6 and !dragonglass_super;500;800;While mining for dragonglass, we discovered a large shaft suitable to be shaped into scorpion arrowheads.;1+1;;;-1-1;;Proceed;;nb_glass++ and >>>293;How?;;>
walkers;_;1093;maester;;;;;We need to vanquish Viserion, the undead dragon. I could adapt the scorpion ballista to shoot a dragonglass arrow.;2;;;-1-1;;Proceed;;nb_glass++ and >>>293;;;!nb_glass
walkers;;1206;maester;;nb_glass>10;500;100+250;We have produced enough dragonglass weapons to face the White Walkers!;-1+2;;1+1;;dragonglass_super;Distribute them;;>>>>>>>>_185;Store them;;>>>> and >>>>>>>>_185
walkers;_;1207;maester;;;;;The Iron Islanders have stolen our dragonglass weapons!;2;;;-1-1;!dragonglass_super;Chase them;;;Don't bother;;
walkers;;340;maester;;winter;400;100;The White Walkers do not know good nor evil. They rise, stride and kill. That's their purpose.;1;;1;;;That's the challenge;;;Something must drive them...;;
walkers;;341;people;;storm;500;100;I saw them... Y-Your Majesty, I saw the Walkers! There's no end to them. They mass as far as the horizon.;2-1;-1;-1;2;;Tell us everything;;;Be silent!;;
walkers;;342;spider;;storm;500;100;There is one sure way to slow those frightful Walkers. But you must follow my word, and ask no questions.;;;1;-2-1;;;;;;;
court;;238;!tyrion;;has_tyrion and kingslanding;500;100;The state of King's Landing's sewerage system is abhorrent.;-1;-2;1-3;;;Tyrion!;;>;And?;;
court;_;239;tyrion;;;;;I would not adventure into this river of shit for all the gold in the world. I had quite enough at Casterly Rock.;;-2;2;;;Obviously;;;I'm disappointed;;
faith;;242;septon;;faith<50;500;200;The Mother looks at you with sorrow, as the Father is about to pass your sentence. Repent before it's too late.;;3+2;2;;;I repent;;;I bow to no God;;
faith;;243;noble;;!has_septon;500;200;(My King*My Queen) I implore you... we cannot ban the Faith of the Seven. You need to recognize the new High Septon.;;2-1;2-1;;;;;>>_newsepton and add_septon and septon>high_septon;I have some conditions...;;>
faith;_;244;noble;;;;;We cannot guarantee the obedience of the Faith to the Crown. Not after the recent events.;;4-3;2-2;;;I will see him;;>>_newsepton and add_septon and septon>high_septon;Then no...;;
faith;_newsepton;245;septon;;;;;I pray for your sins. I hope for your redemption.;-1;1;;;;;;;Don't;;
court;;254;tyrion;;kingslanding;500;60;The Red Keep is like a toad, squatting on that pile of garbage we call King's Landing.;2;;;;;You're right;;;It's pleasant;;
faith;;634;septon;cersei;!has_septon and !cersei_super;500;100+50;The Church is as open-hearted as the Maiden and as merciful as the Mother. We're willing to forgive your sins.;-1;2-1;;;;My sins, really?;;>;<i>Snap your fingers</i>;<i>The Mountain breaks the little man in two like a twig. Sadly, you manage to spill a bit of wine on your dress.</i>;kill_septon and cersei_super
faith;_;635;septon;;;;;<i>Recoiling...</i> I-I mean... of course the Faith must support the Crown. We will give to your royal treasury as well.;;2;;2+1;;Good;;cersei_super;Now leave;;cersei_super
faith;;259;septon;;faith>60;500;100;In this time of corruption and decay the Faith is strong and will grow with or without your help.;-3;1+3;3;-2;;With;;;Without;;
faith;;260;septon;;!greatsept;600;120;We've started to rebuild the Great Sept on our own. Help us and we will tell the poor that you are pious and good.;-2;2;4;-2-1;greatsept;;;;Too late for that;;
faith;;261;septon;;greatsept and faith>50 and !greatseptdone;500;100+30;The new Sept is finished, and with it a new center of our Faith is finally here. Would you like to suggest a name?;2+1;-4;-2;;greatseptdone;Great Sept of Cersei;;;Great Sept of the Mother;;
faith;;1501;septa;cersei;!greatsept and !greatseptdone;600;150;How long will you punish all the Faith for the actions of a fringe group? Please, rebuild the Great Sept.;;2+1;2;-1-1;;If you bless my reign;<i>The blessing wins the support of some smallfolk. And the new Great Sept will be built... very slowly.</i>;greatsept;Never;;
faith;;1502;septa;cersei;!greatseptdone;600;300;It will take a century to rebuild the Great Sept at this rate. I beseech you, commit more funds to the work.;;2+1;;-1-1;;All right;;>>>261;Perhaps next year;;
faith;;262;septon;;faith<50;500;80;The Septs of the Kingdom are being attacked by hordes of miscreants. Please send your men!;-1;4;;-2;;;;;;;
cersei;endready;1542;hand;jaime;!has_cersei and seen_227;reign;10+100;A raven just arrived from the West. We have captured Cersei. Will you summon her to face justice?;2-1;2-1;1;-1;add_cersei;I will;;>>>>_trialcersei;No...;;
cersei;_trialcersei;263;spider;;;;;It's time to put an end to the Mad Queen. Cersei's trial must start now.;;;3-2;;;;<i>Cersei is brought to the Great Hall. She is heavily shackled and rattles her way to the stand.</i>;>_trialcersei1 and add_cersei;;;
cersei;_trialcersei1;265;cersei;jaime;;;max;Jaime, my sweet, beautiful brother. Hasn't it always been just us two? Now, I say your name and weep.;-1-1;;;;;Cersei...;;>_trialcersei2;I...;;>_trialcersei2
cersei;_trialcersei1;266;cersei;tyrion;;;max;Little Brother, don't you think it's a shame the White Walkers have no mind to enjoy jokes?;-1-1;;;;;And why is that?;;>_267;I...;;>_267
cersei;_trialcersei1;264;cersei;;;;10;Call this masquerade a trial if you want, but don't expect my cooperation.;-1-1;;;;;Cersei...;;>_trialcersei2;I...;;>_trialcersei2
cersei;_;267;cersei;tyrion;;;max;If they saw you on this throne, they would laugh until they fell to dust. It's the most hateful joke ever to defile the Seven Kingdoms.;;1;1;;;Too bad...;;>_trialcersei2;How...;;>_trialcersei2
cersei;_trialcersei2;1543;cersei;jaime;;;max;I also wept when I saw the statue of the children. Thank you.;;;;;add_pyromancer;Let's proceed;;>_273;I am sorry;;>_273
cersei;_trialcersei2;268;cersei;;;;10;SILENCE... You low little creature. Don't you dare so much as let your eyes shift my way.;0-1;;;;add_pyromancer;Let's proceed;;>;Enough of this;;>
cersei;_;273;pyromancer;;;;;Queen Cersei ordered the destruction of the Great Sept of Baelor. I had no choice but to supply her endeavor. I...;;0-1;0-1;;;And?;<i>A commotion in the crowd, and a swiftly-thrown knife fells <pyromancer> where he stands. The assassin escapes the (Kingsguard*Queensguard), and Cersei wears a fey smile.</i>;kill_pyromancer and >_toleratetreason;And?;<i>A commotion in the crowd, and a swiftly-thrown knife fells <pyromancer> where he stands. The assassin escapes the (Kingsguard*Queensguard), and Cersei wears a fey smile.</i>;kill_pyromancer and >_toleratetreason
cersei;_toleratetreason;274;cersei;;;;10;I will not tolerate treason. <i>Looking at you.</i> Now ask yourself why I didn't kill you instead?;1;1;1;;;I have no time for this;<i>The trial was indefinitely postponed.</i>;del_cersei;You will die;;kill_cersei and killcersei
cersei;_toleratetreason;1544;cersei;jaime;;;max;I will not tolerate traitors. <i>Looking at you.</i> Except you my love. You have always been my greatest weakness.;;1;;;;Let's proceed;;>;You will die for this;;kill_cersei and killcersei
cersei;_;1545;hand;jaime;;;;Cersei Lannister has been found guilty of all charges, as well as on violations of the obscene kind. The sentence is death.;;;;;;I understand;<i>Despite all she's done, losing Cersei is like losing your other hand. But the past can't be undone.</i>;kill_cersei and killcersei;I'll see her alone;;>
cersei;_;1546;cersei;jaime;;;;You had the chance to ask for leniency for me, but you didn't. I suppose you're just like father, now.;;;;;;I'm...;;>;That's enough;;>
cersei;_;1547;cersei;jaime;;;;You don't want to be King. Let us take this Essence of Nightshade and leave the world as we came in. Together.;-5-4;;-4-5;;;I... agree;;>_end_twins;I refuse;<i>You call the guards to take her away. Your sister is executed at dawn.</i>;kill_cersei and killcersei
cersei;_end_twins;1548;end>twins;jaime;;max;10000;<i>The bodies of the Lannister twins are found on the floor of the throne room, clutching one another through the last convulsions.</i>;;;;;;;;;;;
cersei;;1549;pious;jaime;;400;10000;No royal child should die unremembered, no matter their legacy. Shall we erect a statue remembering the children of Cersei?;;2+1;1;-1-1;;;;>>;;<i>It is already hard for you to remember them. A garish statue would worsen your heart.</i>;
cersei;_;1550;pious;jaime;;;;The memorial statue of the three late children of Cersei Lannister is complete. What should the engraving on the plinth say?;;1;1;;;Baratheon;<i>The statue of the children declares that their father was Robert Baratheon.</i> ;;Lannister;<i>The statue of the children declares that their father was Jaime Lannister.</i>;
;;1553;varys;jaime;killcersei and winter and seen_227;reign;50+200;Something is happening. It was only a rumor for the last few moons, but I managed to turn it into...;;;;;;What are you talking about?;;>;I don't understand;;>
;_;1554;varys;;;;;It would be best for you to come to the window.;;;;;;;;>;;;
;_;1555;crowd;;;;;LONG LIVE JAIME! LONG LIVE THE KING! LONG LIVE AZOR AHAI!;;;;;;What in the world...;;>;I...;;>
;_;1556;hand;;;;;They seem convinced that you are a hero sent by the Lord of Light to save them from the White Walkers.;;;;;;Legends!;;>;That's... why?;;>
;_;1557;varys;;;;;They think that you killed Cersei like Azor Ahai when he plunged his sword in his lover's heart.;;;;;;I'm the Kingslayer;;>;No, no, no;;>_1559
;_;1558;hand;;;;;And now Queenslayer. They love you as much as they despised the Mad Queen.;;;1;;;;;>;Not that one;;
;_;1559;varys;;;;;The people of Westeros will believe any tale that will bring them hope. After all, they believe in the Seven.;;;;;;Indeed;;>;And the Lord of Light apparently;;>
;_;1560;septon;;;;;This is outrageous. My King, I implore you, we have to stop this heresy before it spreads too far.;;3+1;;;;;;;;;>
;_;1561;varys;;;;;You are right. It's a unique opportunity to unite all of Westeros behind you. You only need one little accessory...;;;;;;What?;<i><spider> produces a strange sword attached to a metal glove similar to your golden hand. It is glowing.</i>;>;No, leave me alone;;
;_;1562;crowd;;;;;LIGHTBRINGER! LIGHTBRINGER! LIGHTBRINGER!;1;-1;1;1;redproblems and add_militant;<i>Brandish the sword</i>;;>>>>>>>>_185 and lightbringer_super;<i>Leave</i>;;
recruit;;278;&spider;!daenerys;!has_daenerys;500;60;With Daenerys gone, the Dothraki are difficult to contain. They've already destroyed a few villages in the Reach, taking slaves.;-1-1;;;-1;;Send the Unsullied;;>;Find them;;
recruit;_;279;&spider;;;500;70;The Unsullied are turning into seasoned mercenaries. They are asking for more money.;-1+1;-2;1;-2-1;;;;;;;
recruit;entryrecruit;280;noble;;!seen_288 and !has_arya;reign;160+10;Ser Boros Blount and Ser Osmund Kettleblack have been found skewered outside a brothel.;2;-2;3;-1-2;;Reinforce the patrols;;>>>>_cerseimen;Close the brothels;;>>>>_cerseimen and brothel and >>>_brothelclose
recruit;_cerseimen;661;maester;cersei;;;10;Ser Ilyn Payne has been assassinated! There must be a saboteur within your close circle!;;;;0-2;;Investigate;;>>_282;Ignore it ;;
recruit;_cerseimen;281;maester;!cersei;;;10;Ser Ilyn Payne has been assassinated! There must be a traitor among Cersei Lannister's cronies.;;;;0-2;;Investigate;;>>_282;Ignore it ;;
recruit;_;282;spider;;;;;All signs and whispers tell me there are four suspects who could have slain Ilyn Payne.;2-1;;;;;Show them to me;;>_suspects_choice;Later;;
recruit;_suspects_choice;283;spider;;;;0;The assassin must not be among them. Shall we carry on the investigation?;2;;1;-1-1;;;;;;;
recruit;_suspects_choice;284;lannister_soldier;;;10;100;The Guard$I'm innocent! I was on my way to my garrison.;-1-1;;-1-1;;;You!;<i>You make an example of the guard, yet you cannot escape serious doubts over your decision.</i>;kill_lannister_soldier;Not you;;>_suspects_choice
recruit;_suspects_choice;285;soldier;;;10;100;The Soldier$You cannot stick that on my arse! I fought for you in too many wars!;;;-2-2;;;You!;<i>You make an example of the soldier, yet you cannot escape serious doubts over your decision.</i>;kill_soldier;Not you;;>_suspects_choice
recruit;_suspects_choice;286;nobleman;;;10;100;The Lord$<i>Muttering hesitantly.</i>;-2-2;;;-1-1;;You!;<i>You make an example of the nobleman, yet you cannot escape serious doubts over your decision.</i>;kill_nobleman;Not you;;>_suspects_choice
recruit;_suspects_choice;287;septon;;;10;100;The Septon$By the Grace of the Beggar, why are you restraining me?!;;1+1;;;;You!;<i>In the blink of an eye the Septon escapes his restraints and holds a blade to your throat. His face seems to dissolve.</i>;add_arya and >;Not you;;>_suspects_choice
recruit;_;288;arya;;;;;You got my hint, well done! <i>She tells the guards to leave the room with the other suspects.</i> I couldn't let you kill these innocents.;-1-1;;-1;;;What...;;>_endarya;What...;;>_endarya
recruit;_endarya;1589;arya;stark;;;max;Did I scare you? Good. I don't want you close to me while I see to my list. There's only one left on it now.;0-1;0-1;0-1;0-1;;Cersei...;<i>She disappears before you can do anything about it.</i>;;No!;<i>She disappears before you can do anything about it.</i>;
recruit;_endarya;289;arya;!stark;;;10;<i>She withdraws the sword.</i> You have nothing to fear. There's only one name left on my list, and it's not yours.;0-1;0-1;0-1;0-1;;Cersei...;<i>She disappears before you can do anything about it.</i>;;No!;<i>She disappears before you can do anything about it.</i>;
recruit;_endarya;662;arya;cersei;;;max;<i>She withdraws the sword.</i> You are the last name on my list. You won't die today, but soon. Savour every minute of your agony.;0-1;0-1;0-1;0-1;;Wait...;<i>She disappears before you can do anything about it.</i>;;No!;<i>She disappears before you can do anything about it.</i>;
kingdom;;290;&coins;;;500;60;Starving villagers from the Neck have migrated to the Riverlands. I fear they will turn into bandits if nothing is done.;2-1;;-4;1-2;;Call the banners;;;Divert food to the Neck;;
faith;;291;militant;;!has_militant and faith>55;500;700c100;The Faith of the Seven is strong in the heart of Westeros. It's a new era of purity and chastity!;-2;3-2;2;;;;;faithmilitant;Arrest this man;;kill_militant
faith;;1648;militant;;;400;200;The people are at your window to hear their (King to renew his*Queen to renew her) vow to defend the Faith and fight heresy.;-2;3-2;;;;;;faithmilitant;Arrest this man;;kill_militant
faith;;1649;militant;;redproblems;40;400c40;We will exterminate the scourge of R'hllor in our city streets.;-1;2+1;-1;;;;;faithmilitant;;;
faith;;1650;septon;;faithmilitant;400;600;Why did you allow the Faith Militant to prosper again? They are fanatics, they will turn against you.;0-1;1+2;0-1;0-1;;To purge blasphemy!;;;They didn't really ask;;
faith;;1651;septa;;faithmilitant;400;200;Red Priests fight with the Faith Militant in sacred spaces!;0-1;1+2;0-1;0-1;;It's a holy war;<i>The religious conflict can only escalate, with weaponry on both sides growing in scale.</i>;;I will disarm them;<i>You try to de-escalate the religious conflicts, but the weaponry on both sides is growing in scale.</i>;
faith;;1652;kingsguard;;redproblems and yes_militant<-1 and has_militant;10;600;The Faith Militant is slaying all whom they suspect of following R'hllor! The city is revolting, Your Grace, you must hide!;;;;;;What...;;>;What...;;>
deaths;_end_holywar;1654;end>knights;;;max;10000;<i>Flaming swords and fanatics swarm the Keep in madness. A barefoot preacher throws a knife that finds its home in your breast.</i>;;;;;;;;;;;
faith;;1653;militant;;yes_militant<-1 and faith>60;10;100+20;My beloved (King*Queen), the Father has chosen you to atone for the sins that maculate this grotesque throne.;;0-9;;;;What...;;>_end_shame;What...;;>_end_shame
faith;;1655;septon;;;500;200;The Red God's charlatans have always spewed their nonsense in Flea Bottom. But lately, there are more of them...;;;;;;And?;;>;I have no time for this;;redproblems and add_militant
faith;_;1656;septon;;;500;200;I fear no foreign god. But it's said the followers of R'hllor take child slaves to be trained as priests. We must forbid such practices.;;-2+1;;;redproblems and add_militant;We will watch them;;;We will expel them;<i>The Gold Cloaks are instructed to crack down on blasphemous practices in the city.</i>;
faith;;1657;spider;;redproblems;400;150c20;My little birds tell me that the Lord of Light's followers have taken root in the city. They believe you are the chosen one.;-1;-1;2;;;Let them;;;Unacceptable;;
faith;;1658;coins;;redproblems;400;150c20;The followers of the Red God have been preaching in the street, they are disrupting trade! Please, bid them move!;;1;-1;2-1;;I shall;;;Be patient;;
faith;;1659;handmaiden;;redproblems;400;150c20;I saw it in the fire! The Lord of Light is real! You are his envoy! I must see flames... more flames!;;-2+1;;;;Calm her;;;Imprison her;;kill_handmaiden
faith;;1660;melisandre;;redproblems;400;150c20;Praise R'hllor! Bless us with flames! Destroy the false idols of the Seven!;;-4+3;;;;Not so fast;;;Guards! To me!;;kill_melisandre and add_militant and >1652
afterdeath;_after_death;1661;melisandre>fire;;seen_1660;del;100000000;How did I allow that brutish (King to lay his*Queen to lay her) hands on me?;;;;;;...;;>_ruler_choice;...;;>_ruler_choice
faith;;1662;spider;;redproblems;400;150c20;I despise the Red God with all my heart, but I worry that persecuting his followers will only make things worse.;2+1;-1;-2;;;Let us be strong;<i>Dangerous heathens cannot be allowed to reject your rule.</i>;;Let us be tolerant;;>
faith;_;1663;high_septon;;;;;Tolerant?! My (King*Queen), it is impossible! Their practices are an affront to the Seven and a threat to your sovereignty.;;2-1;;;;;;>;;;>
faith;_;1664;hand;;;;;What about a compromise? Let them practice in the city, so long as they do not take children?;-1;0-1;1;;;Good idea;<i>Though their loyalties are unknown, the followers of the Red God soon settle quietly into the fabric of city life.</i>;!redproblems;They must also kneel to me;<i>Though their loyalties are unknown, the followers of the Red God soon settle quietly into the fabric of city life.</i>;!redproblems
kingdom;;300;coins;;;500;80;Lady Tarly refuses to pay the (King*Queen)'s taxes. She demands the remains of her husband and her son.;;2;-1;-3;;Send soldiers;;;Send peacock ashes;;
kingdom;;301;nobleman;;;500;40;The poor of King's Landing made a new song about you, Your Majesty.;-1;;;;;Tell me!;;>_songhear;I'm busy;;
kingdom;_songhear;302;nobleman;;;;10;I must warn you, it's a song of soldiers lost to melancholy.;2;;;;;Yes, please;;;Sounds awful;;
kingdom;_songhear;303;nobleman;;;;10;With great pleasure! The song is a lovely, tuneful ballad.;;-1;1;;;Yes, please;;;Sounds awful;;
kingdom;_songhear;304;nobleman;;;;10;I'm told you love sober, pious hymns such as these?;;2;;;;Yes, please;;;;;
kingdom;_songhear;305;nobleman;;;;10;Well, it's a bit of a... let's call it a bawdy song. The title is, er, The Iron Brothel.;;;2;;;Yes, please;;;Sounds awful;;
kingdom;;306;varys;tyrion;;500;100;Do you remember what you told me in Pentos?;;;-1;;;Refresh my memory;;>;What is said in Pentos...;;
kingdom;_;307;varys;;;;;You said that a drunken dwarf will never be the savior of the Seven Kingdoms.;-1;-2;1;;;Do I look that drunk?;;;But I'm sober;;
kingdom;;308;maester;;;500;60;Dragons, White Walkers, magic and dark omens. We're entering a time of legends.;-1;-3;1;;;;;;;;
faith;;309;pious;;;500;50;The Mother is bestowing miracles on this wretched land. Our prayers are answered!;;2;;;;What miracles?;;>;Not now;;
faith;_;310;pious;;;;;A blind man began screaming his love for the Seven as he saw the world for the first time.;1;3+1;;;;A miracle!;;>>;Investigate;;>>
faith;_;311;spider;;;;;The man was just a little nearsighted. The people are anxious, and such stories and fancies comfort them.;-2+1;3;2;;;Let it go;;;Stop it;;
kingdom;;312;hand;;kingslanding;500;100;The corruption of the City Watch is such there's now a word for it. You can't do anything without paying the "Golden Share".;2-2;;;-2;;Raise their wages;;>;Disband them;;>
kingdom;_;313;goldcloak>helmet;;;;;Please, postpone that order! Forgive my insolence, but I'll root out this corruption and I save the honor of your Crown.;;;;-2-1;;;;>>>;;;
kingdom;_;314;coins;;;;;The captain of the City Watch is as corrupt as the rest. He used the Crown's money to open his own brothel.;2-1;;;;;Bring him in;;>;Let him be;;
kingdom;_;315;goldcloak>helmet;;;;;You're mistaken. This is actually part of my plan to bring the Gold Cloaks in line.;2+2;;;2-2;;Off with your head!;;kill_goldcloak;Carry on;;
money;;316;banker;;!has_banker;500;600;Your Grace, it's an honor and a privilege to meet you. I'm <banker>, the new representative of the Iron Bank in Westeros.;-1;;-1;3;;Welcome;;;I'm busy;;
money;;317;banker;;power<50;500;120;Keep in mind, the Iron Bank doesn't bet on the losing side. Do you know how easy it is to find new pretenders to the Iron Throne?;-2;;;2;;I'll be strong;;;Watch yourself;;
money;;318;banker;;;500;100;The Iron Bank can extend you a small loan. I will return to collect the money, plus interest, in six moons. Agreed?;;;;2+2;;;;>>>>>>>;;;
money;_;319;banker;;;;;Are you ready to pay off part of our little debt?;-2+2;;;1-3;;;;;Die!;;kill_banker and noironbank
kingdom;;320;nobleman;;kingslanding;500;80;The poor are filling up Flea Bottom as quickly as rats. The city is at its breaking point!;-1;;-4;-1-1;;Relocate them!;;;Let them be;;
court;;321;nobleman;;;500;100;The path you took to the Iron Throne matters not to me. You're the (King*Queen) I choose.;2+1;-1;-2-1;;;I will lead;;;I will listen;;
start;;322;jaime;cersei;!jaimeseen and age<5;400;800;I pledged to ride North. I intend to honor that promise.;-2;;-1;;;Then leave;;del_jaime;You're committing treason!;;>
start;_;323;jaime;;;;;Treason? What, are you going to order your personal abomination to kill me? <i>He points to the Mountain.</i>;3;-2;-2;;;;;kill_jaime;You will not walk away from me!;<i>You nod, Ser Gregor draws his blade.</i> I don't believe you. <i>Says Jaime before leaving, untouched.</i>;del_jaime
kingdom;;343;anyone;;kingslanding;500;50;Shouldn't we reinforce King's Landing's defenses? The outer walls could easily be breached in their condition.;2;;1;-2-1;;;;;;;
kingdom;;344;soldier;!daenerys;;500;50;You have no army of your own. Should we call your banners?;2+1;-1;;-1;;;;;;;
kingdom;;345;hand;!daenerys;;500;50;Daenerys has left behind a dangerous number of Unsullied. What should we do with them?;1+1;;;-1;;Train them;;;Any suggestions?;;>
kingdom;_;346;hand;;;;;They're as disciplined as they're deadly. We should use them in the fight against the White Walkers.;-1-1;;;;;Send them to the Wall;;;;;
kingdom;;347;maester;daenerys;;400;100;Your dragons are something of a miracle. Would you allow me to study them?;;-2;1;;;;;;;;
faith;;348;pious;;unsullied!antagonist;500;100;The Unsullied are godless killers. They need spiritual guidance. Allow me to provide it.;-1;3;;-1;;;;>>>>371;;;
kingdom;;333;hand;;;500;50;A mysterious army has taken over the ruins of Harrenhal. I recommend we send forces to expel them.;-1;;;-2;>>>>;;;;;;
kingdom;_;334;hand;;;;;The soldiers we sent to Harrenhal have not returned. This is disturbing.;-3;;-1;;harrenhalspook;Send more;;;;;
;;1693;nobleman;;harrenhalspook;500;200;Harrenhal is a ruin hiding strange forces. I've served you well, it's time you appoint me Lord of Harrenhal to purge and repair the keep.;;;;1;;;<i><nobleman> and his banners ride to lay claim to the fortress.</i>;del_nobleman and >>>;;;
;_;1694;maester;;;;;We sent a raven to enquire about Harrenhal, but no reply. It's all very worrying.;1;;1;;;Why?;;>;I'm not concerned;;
