thematic;card;id;bearer;sign;conditions;lockturn;weight;question;override_yes;answer_yes;yes_church;yes_kingdom;yes_people;yes_economy;yes_custom;override_no;answer_no;no_church;no_kingdom;no_people;no_economy;no_custom;load_custom;vide
court;play_clearperfume;387;chamberlain;;>_speakspray_tutoinventory;;;Whoa! My Queen, how perfect you look, how well you did! My eyes are burning, that's how charmed I am!;Why thank you;;5;5;5;5;ceremony;Can I go now?;;-5;-5;-5;-5;ceremony;;
court;;409;handmaid;;ceremony and !has_priestess and dynasty>2;60;160;Your new crown is so lovely! Why not throw a coronation ball, to impress the gentry?;Sure;;-8;;12;-16;>_coronationball;Not now;;;;-2;;>>>;;
;_;410;handmaid;;;;;Can we please have a coronation ball? Pretty please? All the girls and me, we're excited...;Fine;;-8;;12;-14;>_coronationball;;;;;-2;;>;;
;_;411;handmaid;;;;;Majesty, it's springtime, and we want to wear fine gowns and hold hands! Please, please, coronation ball...;Fine!;;-8;;12;-17;>_coronationball;I said no;;;;-2;;>;;
;_;412;handmaid;;;;;Co-ro-na-tion ball. Co-ro-na-tion ball! *whispers* Coronation... coronationball...;All right!;Eeee! She's so great, the Queen, she's so great! <i>she runs off singing.</i>;-8;;12;-17;>_coronationball;Never;<i>That grinning minx has already set everything up behind your back. It's too late to escape.</i>;;8;11;;>_coronationball;;
;_coronationball;413;chamberlain;;;;;Woop woop! Coronation ball today! Great idea, my Queen. All your ladies look very nice indeed!;;;;;5;;>;What about me?!;;;;-5;;>;mus_handmaid;
;_;511;handmaid;;;;;Ahhh! I can't contain myself! I need to go dance around!;Have fun;;-5;;5;;>;Be a lady;;5;;-5;;>;add_priestess;
;_;414;priestess;;;;;Excuse me... may I have this dance, Your Highness?;Why yes;<i>She takes your hand and steps closer, whispering.</i>;-5;-5;10;;>;Who are you?;<i>She takes your hand and steps closer, whispering.</i>;5;5;;;>;;
;_meetacolyte;415;priestess;;;;;I've been sent by the Lady of the Wood, to teach you of the All-Mother. This land needs a queen of the old ways...;Interesting!;;-18;;14;;;Who let you in?;;19;;-15;;;;
;;416;priestess;;;del;30;My people believe the time of the black sun is coming. Darkness will fall in daytime, and the people will tremble!;Wow;;-10;-10;14;;;Impossible;;5;5;-5;;;;
father;;283;king;;!has_father;200;50;The Cardinal says a man from your country is in the church prison. No one speaks his language. Will you deal with it?;;;-5;10;5;;>;;;15;;-5;;>>_executedad;;
father;_;284;archbishop;;;;;Enemies of the Church are everywhere. I need the crown to approve my execution of this heathen!;;;15;-5;-5;;>>_executedad;;;-17;;;;>_meetfather;;
;_executedad;285;king;;;;;Dear, I have bad news. It turns out your father was executed by the Cardinal for spying.;What?!;;-10;-16;;;del_father;Ah well;;18;19;-15;;del_father;;
father;_meetfather;287;archbishop;;;;;Fine, but I don't speak the language of your sinful land. You must make him repent. ;Okay;<i>The cell is dim, but the voice you hear inside is wonderfully familiar!</i>;;5;5;;add_father and >;Too busy;;;-5;-10;;>>>_executedad;;
father;_;288;father;;;;;Daughter! I've come to your court to advise and support you. Free me from this prison!;Yes!;;-20;10;5;;>>;I don't know you;;30;;-5;;>>>_executedad;;
father;_;289;nun;;;del;;The Cardinal is furious you released his prisoner. You must pray with me!;;;10;-5;-5;;;;;-5;10;10;;;;
father;;290;archbishop;;has_father;60;30;If your sinful family knew of my little mistake with your father, there'd be trouble. Agree to keep the secret.;I agree;;20;-10;;;;I'm telling;;-5;15;5;;>>>>>;;
father;_;291;king;;;;;A Western delegation is here complaining that the Church mishandled your father. Should I just give them some gold?;;<i>Your countrymen leave in peace, but without acknowledging you at all.</i>;-5;-5;-5;-18;;;<i>The church refuses diplomacy. Relations with your own homeland suffer badly.</i>;-13;;-25;;churchwar;;
magic;;294;nun;;has_priestess and !meetwitch and dynasty>5;180;40;I sense witchcraft, vibrating abundantly in this court! The Cardinal wants you to attend the trials of suspicious persons!;Fine;;10;10;-10;;>;Not now;;-13;-5;15;;;;
magic;_;295;archbishop;;;;;I love a good witch trial! Let's try your royal chef. She seems humble, but what if the broths she brews are evil?;Let's find out;Then you may act as her interrogator, too! <i>says <archbishop>, eyes gleaming.</i>;10;;;;add_witch and >;That's crazy;The Queen's first duty is to purge the kingdom of dishonor, <i>he hisses.</i> Remember that.;-17;;5;;add_witch and >;mus_priestess;
magic;_;297;witch;;;;;Oh p-please, great Lady, I ain't no witch, I'm just a poor unmarried cook!;No husband?;He died in the week we was married, <i>she weeps.</i>;;;;;>;For how long?;All my little life, your graciousness! <i>she squeaks.</i>;;;;;>;;
magic;_;298;witch;;;;;I promise you all I done wrong was to pick some herb I shouldn't. I promise I won't go pickin' in the churchyard again!;What was it?;Just a little grave rose! <i>she cries</i>. Tastes nice!;;;;;>;Where are you from?;Here I was born and here I'll die, magnificence, <i>she nods.</i>;;;;;>;;
magic;_;300;witch;;;;;I beggin' ya, beautiful Queen, I'm as innocent as a lizard. Doesn't your lord heap blessings on the merciful?!;Whose lord?;I said "our Lord", I said it plain as day! <i>she insists.</i>;;;;;>;A lizard?;Silly me, <i>she laughs.</i> Innocent as a <i>wizard</i>, I meant.;;;;;>;;
magic;_;301;archbishop;;;;;Enough questions! I shall now make my ruling. What is the Queen's recommendation? Is this woman a witch?;She is!;<i>The cook disappears. The taste of your meals does improve, though.</i>;25;10;-10;;del_witch;She isn't!;<i><archbishop> is disappointed, having brought his favorite torch.</i>;-16;;15;;>;;
magic;_;302;witch;;;;;Awright! We got away with it! That was legit, thanks so much for bailing me out. I owe you my magical expertise.;Wait, witch?;;;;;;>;You speak oddly..;;;;;;>;meetwitch;
;;565;witch;;;;;Don't freak. Witchcraft is key to women's resistance! Don't trust that fake acolyte and her 'earth mother' act.;I won't;<i>You hope <archbishop> doesn't find out about this...</i>;-8;;12;;;Oh, great...;<i>You hope <archbishop> doesn't find out about this...</i>;20;5;-10;;;;
magic;;304;witch;;advancedclock;400;14;There's something weird about you. Have you been dying more quickly lately?;Well...;;-5;;;;>;What?!;;10;;;;>;;
magic;_;305;witch;;;;;I thought so. Please be careful. You could be messing with the very fabric of reality.;Really?;;;;;;;Don't worry;;;;;;;;
church;;353;archbishop;;has_priestess;400;10;I have heard, my Queen, that you confer with heathen cultists who wish to undermine my power. Is this true?;Actually yes;;-20;22;;;>;Of course not!;Funny, <i>he says.</i> The walls told me otherwise. Take care.;18;-16;;;;;
church;_;354;archbishop;;;;;Just remember: The only way for you to keep your influence here is with my approval. Understand?;I do;;5;-5;;;;Whatever;;-5;5;;;;;
church;;355;nun;;;400;10;The King and Queen of the island across the channel have sorcerous beliefs! Avoid them!;I will;;12;;-12;;;Nope;;-11;20;5;;>;;
magic;;360;hunter;;!chickenbone and dynasty>3;80;60;Let me earn your favor, sweet Queen! Send me off to slay a rare beast, and bring you a trophy!;Do it;;;10;-5;;>>>;No, no!;;;;14;;;;
magic;_;361;hunter;;;;;I'm back from my hunt! I even glimpsed the rare white doe! Legends say it is the Lady of the Wood, in animal form.;What about my trophy?;;;;;;>;Who?;A queen of legend, <i>he says</i>. They say she can take any form!;;;;;>;;
;_;566;hunter;;;;;Oh, right! Your trophy, my Queen! The fey bone of a ferocious creature I slayed all alone, deep in the wood.;My hero!;;-5;-5;-5;;chickenbone;What is this...;;;5;5;;chickenbone;;
court;;362;hunter;;has_king;400;10;The Church tried to pay me to spy on my master the King, but I refused. Of course, since then, my pockets have ached...;Let me help;;-15;5;10;-18;;Oh well;;5;-8;-10;;;;
;;567;nun;;!has_doctor and age>3 and dynasty>2;60;80;A strange light is coming from one of the towers... could it be the presence of a demon?!;In our pure house?;;8;-5;;;>;Definitely!;;-13;5;;;>;;
;_;568;chamberlain;;;;;How spooky! That tower has been empty for years... someone should investigate!;I will;<i>You climb the dark, forgotten tower, and open the door...</i>;;5;8;;> and add_doctor;You do it;<i>He creeps hesitantly upstairs. Some time later...</i>;;-5;-10;;> and add_doctor;;
;_;569;doctor;;;;;Ah, hello! I'm the palace doctor! At least, I think I am. And you are?;The Queen!;;;-8;8;;>;You don't know?!;;;8;;;>;;
;_;570;doctor;;;;;Oh! Apologies, Your Grace! I must have been locked in my lab for a very, very long time. ;How... long?;;;;5;;>;Get back in!;Too late! <i>she cries, running down the stairs.</i> I'm out! I'm out!!;;18;-10;;;;
court;_;431;doctor;;;;;Well, I lived on specimen jars and plentiful humours... and now I'm ready to create a new age of science!;Sounds good;;;;5;;;You're the doctor?!;;;;-5;;;;
court;;432;doctor;;;400;10;You look a little pale, Your Majesty. My leech treatment will rebalance your red humours...;;;;-10;14;-8;;;;10;;-14;;;;
court;;515;doctor;;;400;10;When I press my fingers into my eyes, I see sunspots. Does this mean an eclipse is coming???;Definitely;;-8;-8;8;;;In your brain, maybe;;8;8;-8;;;;
court;;433;doctor;;;400;10;If I hold my breath for long enough, I can see the stars moving! Please let me build a full-sized cosmic model!;;;-11;;14;-24;;;;10;;-15;;;;
court;;434;doctor;;!prince_reign and age<10;400;25;No heir yet? Must be your bile rising. This cure is made from baby rabbit intestine, and is sure to help!;;;-8;;14;-16;>>>_babyresult;;;8;;-14;;;;
court;;435;doctor;;;250;13;I'm making a huge book of all my prognostications and scientific wisdom. Want to hear some?;;;-17;-8;15;-18;>_predictions;;;12;14;-15;;;;
court;_predictions;839;doctor;;;10;5;The chances of rain this week are 46 percent. I'm 25 percent certain! Isn't science amazing?;;;-18;;;;;;;20;;;;;;
court;_predictions;840;doctor;;;10;5;In the year 2000, the sun is destined to be covered by a shadow from the moon. You believe me, right?;;;-18;;;;;;;20;;;;;;
court;_predictions;841;doctor;;;10;5;If more than six white goats are stillborn in a year, then there will be an earthquake. Count the goats!;;;-18;;;;;;;20;;;;;;
magic;;437;priestess;;redspellbook;400;20;The All-Mother spoke to you... what if you are the one foretold by prophecy?;What prophecy?;;-10;;10;;>;Naturally;;18;;-29;;>;;
magic;_;438;priestess;;;10;20;The All-Mother will choose a Forever Queen to live many lives, always ruling this land!;It's me!;;-19;10;-12;;;That doesn't make sense;;19;-11;12;;;;
magic;play_redspellbook;439;priestess;;see_priestess and redspellbook;0;max;You must use the spell I wrote in this book to find the Lady of the Wood, who takes the forms of animals...;;;-8;;5;;;;;8;;-5;;;;
court;;440;nun;;;200;14;As a nun, I proudly live a humble life. But for a little worldly coin, I might share a secret of the church...;I'll pay;;-5;;;-11;>_churchsecrets;No thanks;;15;-10;;;;;
court;_churchsecrets;656;nun;;;3;100;The only way to survive the Cardinal's sainthood test is to show him a holy bone. Good luck with that!;Wow;;;;;;;I'll buy another;;;;;-12;>_churchsecrets;;
magic;_churchsecrets;375;nun;;;3;60;In his last position, the Cardinal sowed such discord in the royal family that the kingdom collapsed!;Interesting!;;;;;;;I'll buy another;;;;;-12;>_churchsecrets;;
magic;_churchsecrets;376;nun;;;3;40;The Church is secretly very afraid of the Lady of the Wood, who entices people to worship the All-Mother.;I see;;;;;;;I'll buy another;;;;;-12;>_churchsecrets;;
magic;_churchsecrets;510;nun;;;3;10;That's all I know right now! I'll whisper to you another day, should you have the shameful currency.;Bless you;;8;;;;;I'm sure;;8;;;;;;
;play_chickenbone;764;nun;;see_nun;;;Oh! Is that the holy bone of a venerated saint?!;;<i>She seems perfectly convinced.</i>;15;5;5;5;;;You could have fooled me, <i>she shrugs</i>.;-5;-5;;;;;
magic;;1380;nun;;;400;20;I heard a rumor that you blasphemously worship the All-Mother in secret. But you don't, do you?;I do...;;-25;;;;;I don't;;25;;;;;;
court;;380;handmaid;;;400;10;Growing up in the West, did you get to... experiment?;Well, I...;;-5;;;;>;With what?;;-5;;;;>;;
court;_;381;handmaid;;;;;You know... with spices! You come from the land of flavors! I bet your house was so odorous!;Thank you;;-10;-11;15;;;What are you trying to say?;<i>You have her whipped, but only lightly.</i>;5;11;-12;;;;
people;;441;priestess;;;400;10;I tried the royal winery. What a grape great... great grape... hee hee! Let's send some in tribute to the Lady of the Wood.;;;;;14;-16;;;;;10;-17;;;;
duel;;664;chamberlain;;!has_owl and has_merchant;60;60;We once had a mechanical owl to read the traditional duel poems, but it broke. Now it just sits in the duel room.;Fix it!;I've got no knack for gears and things, <i>he stammers profusely.</i>;;;;;;I'll fix it ;<i>The dusty owl is too intricate for you to figure out alone.</i>;;;;;;;
magic;play_clearperfume;1371;mirror;;see_mirror;10;max;Enchanting... you are enchanting. Finding ways to love yourself more and more, isn't that life's truest calling?;No;;;;;;;Yes;;;;;;;;
greatmother;play_pistol;443;mirror;;see_mirror and foretold;;max;...luos ruoy ni gnileef ynnuf a teg uoY;No;;;;;;>_selfduel_start;Yes;;;;;;>_selfduel_start;;
greatmother;play_pistol;869;mirror;;see_mirror;;10;<i>Without a clear reason to aim at the mirror, you lower your pistol.</i>;;;;;;;;;;;;;;;;
;_selfduel_start;1309;owl;;;;;How brave you are to call a duel against your own dear spirit. Listen for the mother's voice, and fire when you hear it.;I'm ready;<i>The cold apparition is already at your back. You take your positions to duel.</i>;;;;;> and mus_mirror;W-Wait!;<i>The cold apparition is already at your back. You take your positions to duel.</i>;;;;;> and mus_mirror;;
duel;_duel_self1;665;owl>timer;;;;;Signs of everlasting air, and signs of richest earth. Many turns of sacred wheel, many deaths and births.;<i>Fire!</i>;;;;;;>_duelself_missed;<i>Step forward</i>;;;;;;>;;
duel;_duel_self2;658;owl>timer;;;;;Signs of water's gravity, signs of fire's ire. You cross the stars a hundred times, yet still you must aim higher.;<i>Fire!</i>;;;;;;>_duelself_missed;<i>Step forward</i>;;;;;;>;;
duel;_duel_self3;659;owl>timer;;;;;Hidden in the garden maze is one great, sacred crown: "Follow the sun, dear child," she says...;<i>Fire!</i>;;;;;;>_duelself_won;<i>Step forward</i>;;;;;;>;;
duel;_duel_self4;666;owl>timer;;;;;...For the stars are but jewels on her gown.;<i>Fire!</i>;;;;;;>_duelself_wait;<i>Step forward</i>;;;;;;>;;
duel;_duelself_wait;667;owl>super;;;;;Alas, too late for a good shot. Now your spirit is trapped here, like it or not.;What...;;-100;-100;-100;-100;>_end_spirit;What...;;-100;-100;-100;-100;>_end_spirit;mus_stop;
duel;_duelself_missed;668;owl>super;;;;;A grievous time to miss your shot. Now your spirit is trapped here, like it or not.;What...;;-100;-100;-100;-100;>_end_spirit;What...;;-100;-100;-100;-100;>_end_spirit;mus_stop;
deaths;_end_spirit;669;end>spirit;;;;;<i>You live on as a spirit inside the mirror, haunting the future Queens who inherit it.</i>;;;;;;;;;;;;;;;;
greatmother;_duelself_won;670;owl;;;;;The risk you took was great, my friend. And yet you triumphed in the end. ;;;100;100;100;100;won_mirror_duel;;;100;100;100;100;won_mirror_duel;mus_stop;
greatmother;_after_death;446;mother;;won_mirror_duel;del;max;My child... you have confronted your own lesser feelings and triumphed. I am so proud...;;;;;;;>;;;;;;;>;speakmother;
greatmother;_;447;mother>mother4;;;;;I can see the strain in your gaze, poor child. You would like to be free?;;;;;;;>;;;;;;;>;mus_mother;
greatmother;_;448;mother>mother3;;;;;You must become worthy of my crown. Then all men will tremble before you, and even nature will not contain you.;;;;;;;>;;;;;;;>;;
greatmother;_;449;mother>mother2;;;;;With my divine finger I will write my own eternal name inside your book...;;;;;;;> and eclipsebook;;;;;;;> and eclipsebook;;
greatmother;_;870;mother>mother1;;;;;In the center of the labyrinth, call down the hour of the black sun. There, we will meet again.;;;;;;;>force_end;;;;;;;>force_end;del_mirror;
greatmother;_;450;handmaid;;;;;...Majesty! Your Majesty! You fell down at the mirror! It was like you were dead!! What happened?;Magic stuff;;-12;;13;;;Nothing;;;;-16;;;;
greatmother;_after_death;475;mother>mother1;;dynasty>9;del;100;Ah...;;;;;;;>;;;;;;;>;;
greatmother;_;476;mother>mother2;;;;;My child...;;;;;;;>;;;;;;;>;mus_mother;
greatmother;_;477;mother>mother3;;;;;Are you happy? You see so many turnings of the wheel of stars, you live so many lives! ;;;;;;;>;;;;;;;>;;
greatmother;_;478;mother>mother4;;;;;You are the Forever Queen. That is my gift to you.;;;;;;;>;;;;;;;>;;
greatmother;_;479;mother;;;;;You will have the honor of delivering this land from the grasping fingers of little men and their little gods.;;;;;;;>;;;;;;;>;;
greatmother;_;480;mother;;;;;Only love me, obey me, be as one of my acolytes. Seek the counsel of my highest priestess.;;;;;;;>;;;;;;;>;;
greatmother;;842;mother;;;;;And in the maze of green, follow the sun to make it disappear...;;;;;;;>force_end;;;;;;;>force_end;;
;;452;banker;;;400;12;Let us offer patronage to this promising young sculptor. I kind of... promised him.;;;-10;10;14;-14;>>> and patron;;;5;;-10;5;;;
;_;453;banker;;;;;This is the first scuplture from your protégé. Look at these curves, this passion. Where do we display it?;Royal parlor;;;10;5;5;>;How about the attic?;;;;-15;-5;;;
;_;454;archbishop;;;;;This throne room sculpture is not to respectable tastes. Why does this young lady faint so lusciously?;Religious ecstasy;;15;-5;5;10;;I'm into it;;-10;10;-10;-5;;;
;;455;archbishop;;patron;200;10;The Church frowns on garish sculptures and shocking paintings. Stop your frivolous patronage.;I will;;20;-10;-25;;;How come?;;;;5;;>;;
;_;456;archbishop;;;;;Only God can make investments in creation. You feel the same, don't you, Your Highness?;;;10;-5;-10;;;;;-18;5;10;;;;
;;457;general;;nb_tower<4;200;60;I want to be able to see our enemies from afar. The palace needs a new tower!;;;;12;;-10;nb_tower+;Too many towers;;;-10;;;;;
;;458;doctor;capricorn;!nb_tower;60;200;I'd love to have my own tower in this palace for my experiments. I need quiet, and a view of the celestial heavens!;;;-10;4;10;-10;nb_tower+;;;;;-15;;;;
;;459;priestess;;nb_tower<4;200;70;We acolytes need silence to do our sacred rites. Will you build me a tower in your palace?;;;-15;;14;-10;nb_tower+;;;;;-5;;;;
;;460;king;capricorn;nb_tower<4;200;120;I'm the King! Why don't I have a tower of my own in this palace?;Let's build one!;;;15;-4;-10;nb_tower+;Is this a metaphor?;;-5;-10;5;;;;
;;461;chamberlain;;nb_tower=4;40;1000;We're now up to thirteen towers, with the new construction. It's bad luck! Let's build one more to avoid evil.;Sure...;<i>The last tower fell the next winter, bringing down all the others in its wake.</i>;-20;-25;-25;-27;>>>> and nb_tower+;Enough already!;<i>You brought down all the towers, creating a fashionable new architectural aesthetic.</i>;20;15;10;10;>>>> and nb_tower+;;
;_;462;nobleman;;;;;The Northlanders are offering jewels just for a chance to see your 'Palace of No Towers.' Will you agree?;;;-5;10;5;20;;;;;-10;-8;;;;
;;463;banker;capricorn;has_explorer and has_general and has_doctor;400;70;We have the funds to build a new school. It should be a business school, to teach the laws of economy.;;<i>Suddenly all your advisors enter, clamoring!</i>;;;;5;>_newschool;Hmm...;<i>Suddenly all your advisors enter, clamoring!</i>;;;;;>_newschool;;
;_newschool;464;general;;;6;10;We hear enough from the pencil-pushers, do we not? Let us build an academy for our cadets.;;;-5;30;-5;-5;;Hmm...;;;;;;>_newschool;;
;_newschool;465;explorer;;;6;10;But war's become unfashionable now. Don't you think a modern kingdom ought to have a university?;;;-5;15;17;20;;Hmm...;;;;;;>_newschool;;
;_newschool;466;chamberlain;;;6;10;A school of mannerly customs could transform the reputation of this kingdom, my Queen! Civility is progress!;;;-10;-10;-5;-10;;Hmm...;;;;;;>_newschool;;
;_newschool;467;archbishop;;;6;10;These heathenous ideas bear the stink of treason. It can only be a seminary.;;;30;-5;-5;-5;;Hmm...;;;;;;>_newschool;;
;_newschool;468;doctor;;;6;3;Let's make a school of science and medicine, where we can experiment on the students... I mean, with them!;;;6;10;26;-10;;Hmm...;;;;;;>_newschool;;
;_newschool;469;farmer;;;6;3;Or, with respect, Your Highness... a network of small country schools, to teach the people new skills.;;;10;10;30;10;;Hmm...;;;;;;>_newschool;;
;;470;nun;capricorn;has_priestess;400;35;The Cardinal asks to raze some of the older vineyards, to build a new monastery in the hills.;;;25;10;5;-18;>;;;-14;;;-5;;;
;_;471;priestess;capricorn;!redplague_reign;;;No! You will be cursed! The wine of this land is sacred to us acolytes, you cannot do this!;Yes I can;<i>Not long after the vineyards are razed, a new disease mysteriously afflicts the land!</i>;5;-5;-10;;redplague_reign;You're right;;;;;;;;
;;472;chamberlain;aries;has_king;400;60;I know this is a breach of etiquette, but will you receive the General? The King is hunting, and it's an urgent matter!;Let him in;;;;;;> and add_general;;;-5;-20;-20;-5;;;
;_;473;general;;;;;Relations with the West have deteriorated badly. Our spies say they plan to attack!;And?;;;;;;>;My home...;;;;;;>;;
;_;474;general;;;;;Forgive me, Your Highness, but this country is your home now. The people need you. Will you help?;;<i>You told <general> everything about your old country's weaknesses. The attack is thwarted.</i>;10;20;-10;10;;;;-38;-50;;-20;;;
zodiac;;481;handmaid;aquarius;has_king and dynasty>1 and !secretlanguage;250;30;We girls have invented our own secret language. Please don't tell the King! Let us teach it to you...;;;-10;-5;10;;>;;;10;22;-19;;;;
zodiac;_;482;handmaid;aquarius;;;;So you start by moving each vowel to its next vowel... A becomes E, E becomes I, I becomes O... Understand?;Yis;;;;;;secretlanguage;No;;;;;;;;
zodiac;;483;king;aquarius;;400;40;Ours is a golden age for national unity! I must give an address. Should I praise God or thank the farmers?;God;;-20;;-19;;>>;Farmers!;;-15;;19;;;;
zodiac;;689;farmer;aquarius;;400;20;When it's a good harvest, it's God's work. When it's a bad harvest, it's my fault! I can't win.;That's how it is;;16;11;-17;;;Switch religions;;-14;-17;8;;>>690;;
zodiac;_;690;archbishop;aquarius;;;;You spread blasphemy among the smallfolk? The Crown must work in lockstep with the Church. Sow no discord.;I obey;<i>The King pays a fee to the Cardinal to quiet your blasphemy charges.</i>;-8;-10;-8;-18;;There are many beliefs;;-30;10;8;;;;
zodiac;;484;handmaid;aquarius;;400;25;Please, let this be the year I get married to a Lord. I've served you well, please say yes!;;<i><handmaid> moves on to the life of a Lady, laden with your generous gifts.</i>;14;-8;16;-17;del_handmaid;;<i>You simply cannot do without <handmaid>. That's all there is to it.</i>;-10;19;-26;;;;
court;;485;chamberlain;;!has_handmaid;250;18;Your royal handmaid is gone? Shall we hire another girl to be your loyal companion here?;;;;8;10;-14;add_handmaid;;;;-12;-17;12;;;
zodiac;;486;priestess;aquarius;has_doctor;400;25;The stars say that now, the Age of Aquarius, is the time to embrace your neighbors. Take a diplomatic trip.;;;8;15;12;;>>>_aquariustrip;;;;-16;-12;17;;;
zodiac;_aquariustrip;487;chamberlain;aquarius;;6;50;Your diplomatic visit to the East was a disaster this time... must be bad stars. What do we do now?;Apologize publicly;;-10;-22;10;;;Pay them off;;10;20;10;-26;;;
;_aquariustrip;488;doctor;aquarius;;6;50;You really impressed the Easterners on your diplomatic visit! My book is right: Aquarius is a good age for diplomacy!;;;;;;;;;;;;;;;;
;;512;archbishop;aquarius;;400;40;"Age of Aquarius?" That star science seems heathenous to me. You'd better send your wayward maids to the nunnery.;;;20;-5;-19;;;;;-14;5;19;;;;
zodiac;;844;king;aquarius;;400;25;I think the King of the East doesn't like us. What should I do?;Invite him hunting;;;5;10;;>>;Love yourself;;;-10;5;;;;
zodiac;_;845;king;aquarius;;;;I took your advice and invited the other King hunting. But it was so awkward! How do I make friends?;Be yourself;;5;-5;8;;>>;Do pushups;;-5;10;-8;;>>;;
zodiac;_;846;king;aquarius;;;;I just can't seem to impress the Eastern king. But what if... he's just as worried about impressing me?;He is!;<i>You and your husband grew closer during the Age of Aquarius.</i>;;-5;5;;;Doubt it;<i>You and your husband reinforced your distance during the Age of Aquarius.</i>;;-5;5;;;;
zodiac;;847;anyone;pisces;dynasty>5;400;35;The heavy rains have swept away my grand houses. I beg you, my Queen! Please take our family into the palace.;;;10;10;10;-23;>>;;;-18;-20;-20;20;;;
zodiac;_;848;chamberlain;pisces;;;;Whoop, Your Majesty! If we feed everyone who asks, we won't have enough for the winter at this rate!;Tighten your belt;<i>You and your ladies drink wine when you get hungry.</i>;-15;-15;15;-14;>>>;Evict them;<i>A frail cousin of <handmaid2> is lost to the rainy season.</i>;15;15;-12;20;;;
zodiac;_;849;handmaid2;pisces;;;;I know you suffered to shelter us during the floods. We will be forever loyal to the Crown, down to the end of our line.;Thank you;;;;8;;;That's all I get?!;;;8;;;;;
zodiac;;489;priestess;pisces;has_king;400;25;Have your huntsman send the land's most beautiful fish to the Lady of the Wood, as an offering for the age of Pisces. ;;;;;;;>>>piscesfish;;<i>The King would never let you give away the royal catch.</i>;;20;-14;19;;;
zodiac;piscesfish;490;hunter;pisces;;400;25;The lowlands are flooded and the wheat is drowned! Some curse has fallen... we must build a dam!;;;;5;18;-33;;Too expensive;;;16;-28;12;>>>495;;
zodiac;piscesfish;491;hunter;pisces;;400;25;Some divine onlooker has blessed us with plenty this Spring! We can give a lamb to every family in the land!;Let's;;12;;22;-23;;I want to keep them all;;-11;11;-16;20;;;
zodiac;;492;general;pisces;;400;25;The sea is mighty in these times! Sign this decree and we'll build a royal fleet in your name!;Ooh;;;17;;-26;;;;;-19;;10;;;
zodiac;;493;handmaid;pisces;secretlanguage and !secretlanguage2;60;90;Our secret language was too easy. So let's keep the vowel rule, but turn consonants back one letter, so A becomes E but Y becomes X.;Xir;Yes, 'Y' counts as a consonant for our purposes!<i>she says.</i>;;;;;secretlanguage2;Huh?!;;;;;;!secretlanguage;;
zodiac;;494;priestess;pisces;;400;25;According to the stars, great rains will fall on this age. How will Your Highness prepare?;Plant seeds;;;16;15;17;;Build an ark;;20;-16;;-22;;;
zodiac;;495;doctor;pisces;;400;25;Despite my predictions, the rains have entirely stopped. People are worried about the harvest.;Pray;;22;-19;10;;>>;Import food;;;;12;-29;;;
zodiac;_;871;nun;;;;;Prayer is the best way to deal with a tragedy, that's what I think. Of course, the nunnery flooded, but that's okay!;Pray more!;;8;-10;;18;;We'll build another;;20;8;10;-26;;;
zodiac;;496;priestess;aries;;400;25;Aries will guide your hand in military strategy. Help me slaughter this goat for offering, and be blessed.;;;-23;;26;-17;>>>_ariesgoat;What if it's the Lady of the Wood?!;She would never be a goat! <i><priestess> insists... and yet the slaughter is averted!</i>;20;12;-17;;;;
zodiac;_ariesgoat;497;general;aries;;6;50;The Cardinal's own men turned us away from our patrols. We grow weak under a bad sign. Let us use force!;;<i>Skirmishes broke out between the royal armies and the Church guard!</i>;-19;26;-10;;war and churchwar;;;15;-29;14;;;;
zodiac;_ariesgoat;498;king;aries;;6;50;Lucky stars, the heralds' songs are all about my brave army this year. Let's have a royal parade!;;;;24;12;-26;;Not again;;;-29;-10;12;;;
church;;499;general;;churchwar;250;40;The Cardinal says he'll call off the Church guard and end the conflict if the crown pays in gold.;;;22;-17;;-26;!war and !churchwar;;;-25;18;;12;;;
church;;500;archbishop;;churchwar;250;30;One of your soldiers disrespected my Church guardsmen in the city. Will you make an example of him?;;;16;-11;-23;;;;;-18;10;22;;;;
church;;501;nun;;churchwar;250;30;All this spittle flying between the Cardinal and the Crown! Lead the people in prayer to keep us strong!;;;18;-16;-19;;;;;-25;12;10;;;;
church;;502;priestess;;churchwar;250;30;This land must never stop fighting the Church's black fist. The Lady of the Wood wishes to bless your army.;I accept;;-19;17;15;;>>>;Not now;;10;-16;-18;;;;
church;_;503;general;;churchwar;;;The Cardinal's holy guard ate bad berries and fell ill, every man! The city watch is ours again!;Nice;;-15;16;;;!churchwar;Who cares;;10;-19;;;!churchwar;;
church;;872;king;;churchwar;250;30;Does fighting with the church make us look weaker, or stronger, do you think?;Weaker;;15;-20;-10;;>;Stronger;;-18;18;10;;;;
church;_;873;king;;churchwar;;;Weaker, eh? Do you think that means I should compromise with <archbishop>, for the sake of peace?;;;8;-10;5;;!churchwar;;;-10;15;10;;;;
church;;883;merchant;;churchwar;400;30;Well done defying <archbishop>! Hopefully the church doesn't crush your kingdom... Do you feel confident?;We're strong;;;15;18;15;;It's a mess;;;-5;-17;-10;;;
